Natural emissions backed out from the RCP scenarios
Method: assumed 1765 was steady state. Used constant lifetime of 9.3 years for CH4 and 121 years for N2O. After 2005, lifetimes are fixed at 2005 levels.
year       CH4        N2O
           MtCH4      MtN2O-N
2441.0000  190.5807    8.9883
2442.0000  190.5807    8.9883
2443.0000  190.5807    8.9883
2444.0000  190.5807    8.9883
2445.0000  190.5807    8.9883
2446.0000  190.5807    8.9883
2447.0000  190.5807    8.9883
2448.0000  190.5807    8.9883
2449.0000  190.5807    8.9883
2450.0000  190.5807    8.9883
2451.0000  190.5807    8.9883
2452.0000  190.5807    8.9883
2453.0000  190.5807    8.9883
2454.0000  190.5807    8.9883
2455.0000  190.5807    8.9883
2456.0000  190.5807    8.9883
2457.0000  190.5807    8.9883
2458.0000  190.5807    8.9883
2459.0000  190.5807    8.9883
2460.0000  190.5807    8.9883
2461.0000  190.5807    8.9883
2462.0000  190.5807    8.9883
2463.0000  190.5807    8.9883
2464.0000  190.5807    8.9883
2465.0000  190.5807    8.9883
2466.0000  190.5807    8.9883
2467.0000  190.5807    8.9883
2468.0000  190.5807    8.9883
2469.0000  190.5807    8.9883
2470.0000  190.5807    8.9883
2471.0000  190.5807    8.9883
2472.0000  190.5807    8.9883
2473.0000  190.5807    8.9883
2474.0000  190.5807    8.9883
2475.0000  190.5807    8.9883
2476.0000  190.5807    8.9883
2477.0000  190.5807    8.9883
2478.0000  190.5807    8.9883
2479.0000  190.5807    8.9883
2480.0000  190.5807    8.9883
2481.0000  190.5807    8.9883
2482.0000  190.5807    8.9883
2483.0000  190.5807    8.9883
2484.0000  190.5807    8.9883
2485.0000  190.5807    8.9883
2486.0000  190.5807    8.9883
2487.0000  190.5807    8.9883
2488.0000  190.5807    8.9883
2489.0000  190.5807    8.9883
2490.0000  190.5807    8.9883
2491.0000  190.5807    8.9883
2492.0000  190.5807    8.9883
2493.0000  190.5807    8.9883
2494.0000  190.5807    8.9883
2495.0000  190.5807    8.9883
2496.0000  190.5807    8.9883
2497.0000  190.5807    8.9883
2498.0000  190.5807    8.9883
2499.0000  190.5807    8.9883
2500.0000  190.5807    8.9883
