Fossil CH4 fraction as a proportion of total anthropogenic CH4 emissions,,,,
Original sources: ,RCP emissions database pik.potsdam.de/~mmalte/rcps,,,
,RCP database tntcat.iiasa.ac.at/RcpDb/,,,
Method: ,Linearly interpolate between decades. Years before 1850 and after 2100 are set equal to 1850 and 2100 respectively.,,,
Year,RCP3PD,RCP4.5,RCP6,RCP8.5
2057,0.17917066,0.28308896,0.2856584,0.34320229
2058,0.17119318,0.28230029,0.28500462,0.34394447
2059,0.1632157,0.28151161,0.28435085,0.34468666
2060,0.15523821,0.28072294,0.28369707,0.34542884
2061,0.1544694,0.27970873,0.28061578,0.34520121
2062,0.15370059,0.27869452,0.2775345,0.34497358
2063,0.15293178,0.27768032,0.27445321,0.34474595
2064,0.15216297,0.27666611,0.27137193,0.34451831
2065,0.15139416,0.27565191,0.26829064,0.34429068
2066,0.15062535,0.2746377,0.26520935,0.34406305
2067,0.14985655,0.27362349,0.26212807,0.34383542
2068,0.14908774,0.27260929,0.25904678,0.34360778
2069,0.14831893,0.27159508,0.2559655,0.34338015
2070,0.14755012,0.27058087,0.25288421,0.34315252
2071,0.1465074,0.26926533,0.25016548,0.34397715
2072,0.14546469,0.26794978,0.24744675,0.34480179
2073,0.14442197,0.26663423,0.24472802,0.34562643
2074,0.14337926,0.26531868,0.24200929,0.34645107
2075,0.14233654,0.26400314,0.23929056,0.3472757
2076,0.14129383,0.26268759,0.23657183,0.34810034
2077,0.14025111,0.26137204,0.2338531,0.34892498
2078,0.1392084,0.2600565,0.23113437,0.34974962
2079,0.13816568,0.25874095,0.22841564,0.35057425
2080,0.13712296,0.2574254,0.22569691,0.35139889
2081,0.13664759,0.25711158,0.22045081,0.35373323
2082,0.13617221,0.25679775,0.2152047,0.35606756
2083,0.13569683,0.25648392,0.20995859,0.35840189
2084,0.13522146,0.25617009,0.20471249,0.36073623
2085,0.13474608,0.25585626,0.19946638,0.36307056
2086,0.1342707,0.25554244,0.19422027,0.3654049
2087,0.13379532,0.25522861,0.18897417,0.36773923
2088,0.13331995,0.25491478,0.18372806,0.37007356
2089,0.13284457,0.25460095,0.17848196,0.3724079
2090,0.13236919,0.25428713,0.17323585,0.37474223
2091,0.13252583,0.25395599,0.17226681,0.37607432
2092,0.13268247,0.25362485,0.17129777,0.3774064
2093,0.13283911,0.25329371,0.17032873,0.37873848
2094,0.13299574,0.25296258,0.1693597,0.38007056
2095,0.13315238,0.25263144,0.16839066,0.38140264
2096,0.13330902,0.2523003,0.16742162,0.38273473
2097,0.13346566,0.25196916,0.16645258,0.38406681
2098,0.1336223,0.25163803,0.16548354,0.38539889
2099,0.13377894,0.25130689,0.16451451,0.38673097
2100,0.13393557,0.25097575,0.16354547,0.38806306
2101,0.13393557,0.25097575,0.16354547,0.38806306
2102,0.13393557,0.25097575,0.16354547,0.38806306
2103,0.13393557,0.25097575,0.16354547,0.38806306
2104,0.13393557,0.25097575,0.16354547,0.38806306
2105,0.13393557,0.25097575,0.16354547,0.38806306
2106,0.13393557,0.25097575,0.16354547,0.38806306
2107,0.13393557,0.25097575,0.16354547,0.38806306
2108,0.13393557,0.25097575,0.16354547,0.38806306
2109,0.13393557,0.25097575,0.16354547,0.38806306
2110,0.13393557,0.25097575,0.16354547,0.38806306
2111,0.13393557,0.25097575,0.16354547,0.38806306
2112,0.13393557,0.25097575,0.16354547,0.38806306
2113,0.13393557,0.25097575,0.16354547,0.38806306
2114,0.13393557,0.25097575,0.16354547,0.38806306
2115,0.13393557,0.25097575,0.16354547,0.38806306
2116,0.13393557,0.25097575,0.16354547,0.38806306
2117,0.13393557,0.25097575,0.16354547,0.38806306
2118,0.13393557,0.25097575,0.16354547,0.38806306
2119,0.13393557,0.25097575,0.16354547,0.38806306
2120,0.13393557,0.25097575,0.16354547,0.38806306
2121,0.13393557,0.25097575,0.16354547,0.38806306
2122,0.13393557,0.25097575,0.16354547,0.38806306
2123,0.13393557,0.25097575,0.16354547,0.38806306
2124,0.13393557,0.25097575,0.16354547,0.38806306
2125,0.13393557,0.25097575,0.16354547,0.38806306
2126,0.13393557,0.25097575,0.16354547,0.38806306
2127,0.13393557,0.25097575,0.16354547,0.38806306
2128,0.13393557,0.25097575,0.16354547,0.38806306
2129,0.13393557,0.25097575,0.16354547,0.38806306
2130,0.13393557,0.25097575,0.16354547,0.38806306
2131,0.13393557,0.25097575,0.16354547,0.38806306
2132,0.13393557,0.25097575,0.16354547,0.38806306
2133,0.13393557,0.25097575,0.16354547,0.38806306
2134,0.13393557,0.25097575,0.16354547,0.38806306
2135,0.13393557,0.25097575,0.16354547,0.38806306
2136,0.13393557,0.25097575,0.16354547,0.38806306
2137,0.13393557,0.25097575,0.16354547,0.38806306
2138,0.13393557,0.25097575,0.16354547,0.38806306
2139,0.13393557,0.25097575,0.16354547,0.38806306
2140,0.13393557,0.25097575,0.16354547,0.38806306
2141,0.13393557,0.25097575,0.16354547,0.38806306
2142,0.13393557,0.25097575,0.16354547,0.38806306
2143,0.13393557,0.25097575,0.16354547,0.38806306
2144,0.13393557,0.25097575,0.16354547,0.38806306
2145,0.13393557,0.25097575,0.16354547,0.38806306
2146,0.13393557,0.25097575,0.16354547,0.38806306
2147,0.13393557,0.25097575,0.16354547,0.38806306
2148,0.13393557,0.25097575,0.16354547,0.38806306
2149,0.13393557,0.25097575,0.16354547,0.38806306
2150,0.13393557,0.25097575,0.16354547,0.38806306
2151,0.13393557,0.25097575,0.16354547,0.38806306
2152,0.13393557,0.25097575,0.16354547,0.38806306
2153,0.13393557,0.25097575,0.16354547,0.38806306
2154,0.13393557,0.25097575,0.16354547,0.38806306
2155,0.13393557,0.25097575,0.16354547,0.38806306
2156,0.13393557,0.25097575,0.16354547,0.38806306
2157,0.13393557,0.25097575,0.16354547,0.38806306
2158,0.13393557,0.25097575,0.16354547,0.38806306
2159,0.13393557,0.25097575,0.16354547,0.38806306
2160,0.13393557,0.25097575,0.16354547,0.38806306
2161,0.13393557,0.25097575,0.16354547,0.38806306
2162,0.13393557,0.25097575,0.16354547,0.38806306
2163,0.13393557,0.25097575,0.16354547,0.38806306
2164,0.13393557,0.25097575,0.16354547,0.38806306
2165,0.13393557,0.25097575,0.16354547,0.38806306
2166,0.13393557,0.25097575,0.16354547,0.38806306
2167,0.13393557,0.25097575,0.16354547,0.38806306
2168,0.13393557,0.25097575,0.16354547,0.38806306
2169,0.13393557,0.25097575,0.16354547,0.38806306
2170,0.13393557,0.25097575,0.16354547,0.38806306
2171,0.13393557,0.25097575,0.16354547,0.38806306
2172,0.13393557,0.25097575,0.16354547,0.38806306
2173,0.13393557,0.25097575,0.16354547,0.38806306
2174,0.13393557,0.25097575,0.16354547,0.38806306
2175,0.13393557,0.25097575,0.16354547,0.38806306
2176,0.13393557,0.25097575,0.16354547,0.38806306
2177,0.13393557,0.25097575,0.16354547,0.38806306
2178,0.13393557,0.25097575,0.16354547,0.38806306
2179,0.13393557,0.25097575,0.16354547,0.38806306
2180,0.13393557,0.25097575,0.16354547,0.38806306
2181,0.13393557,0.25097575,0.16354547,0.38806306
2182,0.13393557,0.25097575,0.16354547,0.38806306
2183,0.13393557,0.25097575,0.16354547,0.38806306
2184,0.13393557,0.25097575,0.16354547,0.38806306
2185,0.13393557,0.25097575,0.16354547,0.38806306
2186,0.13393557,0.25097575,0.16354547,0.38806306
2187,0.13393557,0.25097575,0.16354547,0.38806306
2188,0.13393557,0.25097575,0.16354547,0.38806306
2189,0.13393557,0.25097575,0.16354547,0.38806306
2190,0.13393557,0.25097575,0.16354547,0.38806306
2191,0.13393557,0.25097575,0.16354547,0.38806306
2192,0.13393557,0.25097575,0.16354547,0.38806306
2193,0.13393557,0.25097575,0.16354547,0.38806306
2194,0.13393557,0.25097575,0.16354547,0.38806306
2195,0.13393557,0.25097575,0.16354547,0.38806306
2196,0.13393557,0.25097575,0.16354547,0.38806306
2197,0.13393557,0.25097575,0.16354547,0.38806306
2198,0.13393557,0.25097575,0.16354547,0.38806306
2199,0.13393557,0.25097575,0.16354547,0.38806306
2200,0.13393557,0.25097575,0.16354547,0.38806306
2201,0.13393557,0.25097575,0.16354547,0.38806306
2202,0.13393557,0.25097575,0.16354547,0.38806306
2203,0.13393557,0.25097575,0.16354547,0.38806306
2204,0.13393557,0.25097575,0.16354547,0.38806306
2205,0.13393557,0.25097575,0.16354547,0.38806306
2206,0.13393557,0.25097575,0.16354547,0.38806306
2207,0.13393557,0.25097575,0.16354547,0.38806306
2208,0.13393557,0.25097575,0.16354547,0.38806306
2209,0.13393557,0.25097575,0.16354547,0.38806306
2210,0.13393557,0.25097575,0.16354547,0.38806306
2211,0.13393557,0.25097575,0.16354547,0.38806306
2212,0.13393557,0.25097575,0.16354547,0.38806306
2213,0.13393557,0.25097575,0.16354547,0.38806306
2214,0.13393557,0.25097575,0.16354547,0.38806306
2215,0.13393557,0.25097575,0.16354547,0.38806306
2216,0.13393557,0.25097575,0.16354547,0.38806306
2217,0.13393557,0.25097575,0.16354547,0.38806306
2218,0.13393557,0.25097575,0.16354547,0.38806306
2219,0.13393557,0.25097575,0.16354547,0.38806306
2220,0.13393557,0.25097575,0.16354547,0.38806306
2221,0.13393557,0.25097575,0.16354547,0.38806306
2222,0.13393557,0.25097575,0.16354547,0.38806306
2223,0.13393557,0.25097575,0.16354547,0.38806306
2224,0.13393557,0.25097575,0.16354547,0.38806306
2225,0.13393557,0.25097575,0.16354547,0.38806306
2226,0.13393557,0.25097575,0.16354547,0.38806306
2227,0.13393557,0.25097575,0.16354547,0.38806306
2228,0.13393557,0.25097575,0.16354547,0.38806306
2229,0.13393557,0.25097575,0.16354547,0.38806306
2230,0.13393557,0.25097575,0.16354547,0.38806306
2231,0.13393557,0.25097575,0.16354547,0.38806306
2232,0.13393557,0.25097575,0.16354547,0.38806306
2233,0.13393557,0.25097575,0.16354547,0.38806306
2234,0.13393557,0.25097575,0.16354547,0.38806306
2235,0.13393557,0.25097575,0.16354547,0.38806306
2236,0.13393557,0.25097575,0.16354547,0.38806306
2237,0.13393557,0.25097575,0.16354547,0.38806306
2238,0.13393557,0.25097575,0.16354547,0.38806306
2239,0.13393557,0.25097575,0.16354547,0.38806306
2240,0.13393557,0.25097575,0.16354547,0.38806306
2241,0.13393557,0.25097575,0.16354547,0.38806306
2242,0.13393557,0.25097575,0.16354547,0.38806306
2243,0.13393557,0.25097575,0.16354547,0.38806306
2244,0.13393557,0.25097575,0.16354547,0.38806306
2245,0.13393557,0.25097575,0.16354547,0.38806306
2246,0.13393557,0.25097575,0.16354547,0.38806306
2247,0.13393557,0.25097575,0.16354547,0.38806306
2248,0.13393557,0.25097575,0.16354547,0.38806306
2249,0.13393557,0.25097575,0.16354547,0.38806306
